Group,Subgroup,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Year,Start_Month
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-05-07,2020-05-12,27.7,23.8,31.9,23.8 - 31.9,2020,May
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-05-07,2020-05-12,19.5,15.4,24.3,15.4 - 24.3,2020,May
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-05-07,2020-05-12,33,28.6,37.7,28.6 - 37.7,2020,May
By Education,Less than a high school diploma,2020-05-07,2020-05-12,31.4,25.9,37.3,25.9 - 37.3,2020,May
By Education,High school diploma or GED,2020-05-07,2020-05-12,27.1,24.9,29.4,24.9 - 29.4,2020,May
By Education,Some college/Associate's degree,2020-05-07,2020-05-12,26.5,25,28.1,25.0 - 28.1,2020,May
By Education,Bachelor's degree or higher,2020-05-07,2020-05-12,17.2,16,18.3,16.0 - 18.3,2020,May
National Estimate,United States,2020-05-07,2020-05-12,30,28.9,31,28.9 - 31.0,2020,May
By Age,18 - 29 years,2020-05-07,2020-05-12,42,38.3,45.7,38.3 - 45.7,2020,May
By Age,30 - 39 years,2020-05-07,2020-05-12,34.3,32.6,36.1,32.6 - 36.1,2020,May
By Age,40 - 49 years,2020-05-07,2020-05-12,31.9,29.3,34.6,29.3 - 34.6,2020,May
By Age,50 - 59 years,2020-05-07,2020-05-12,31.3,29,33.7,29.0 - 33.7,2020,May
By Age,60 - 69 years,2020-05-07,2020-05-12,22,19.8,24.3,19.8 - 24.3,2020,May
By Age,70 - 79 years,2020-05-07,2020-05-12,16.4,14.5,18.5,14.5 - 18.5,2020,May
By Age,80 years and above,2020-05-07,2020-05-12,11,8.2,14.3,8.2 - 14.3,2020,May
By Sex,Male,2020-05-07,2020-05-12,26.7,24.9,28.5,24.9 - 28.5,2020,May
By Sex,Female,2020-05-07,2020-05-12,33.1,32,34.2,32.0 - 34.2,2020,May
By Race/Hispanic ethnicity,Hispanic or Latino,2020-05-07,2020-05-12,36.2,32.6,39.9,32.6 - 39.9,2020,May
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-05-07,2020-05-12,27.8,26.8,28.7,26.8 - 28.7,2020,May
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-05-07,2020-05-12,33,29.3,37,29.3 - 37.0,2020,May
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-05-07,2020-05-12,26.3,22.3,30.7,22.3 - 30.7,2020,May
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-05-07,2020-05-12,38.9,34.1,43.9,34.1 - 43.9,2020,May
By Education,Less than a high school diploma,2020-05-07,2020-05-12,36.6,30.2,43.4,30.2 - 43.4,2020,May
By Education,High school diploma or GED,2020-05-07,2020-05-12,32.8,30.4,35.3,30.4 - 35.3,2020,May
By Education,Some college/Associate's degree,2020-05-07,2020-05-12,31.5,29.7,33.3,29.7 - 33.3,2020,May
By Education,Bachelor's degree or higher,2020-05-07,2020-05-12,24.2,23.1,25.4,23.1 - 25.4,2020,May
National Estimate,United States,2020-05-07,2020-05-12,34.4,33.3,35.5,33.3 - 35.5,2020,May
By Age,18 - 29 years,2020-05-07,2020-05-12,47.4,43.4,51.3,43.4 - 51.3,2020,May
By Age,30 - 39 years,2020-05-07,2020-05-12,39.3,37.4,41.2,37.4 - 41.2,2020,May
By Age,40 - 49 years,2020-05-07,2020-05-12,36.9,34.1,39.7,34.1 - 39.7,2020,May
By Age,50 - 59 years,2020-05-07,2020-05-12,35.5,33,37.9,33.0 - 37.9,2020,May
By Age,60 - 69 years,2020-05-07,2020-05-12,25.5,23.2,27.9,23.2 - 27.9,2020,May
By Age,70 - 79 years,2020-05-07,2020-05-12,19.8,17.7,22,17.7 - 22.0,2020,May
By Age,80 years and above,2020-05-07,2020-05-12,13.9,10.9,17.3,10.9 - 17.3,2020,May
By Sex,Male,2020-05-07,2020-05-12,31.4,29.5,33.3,29.5 - 33.3,2020,May
By Sex,Female,2020-05-07,2020-05-12,37.2,36.2,38.3,36.2 - 38.3,2020,May
By Race/Hispanic ethnicity,Hispanic or Latino,2020-05-07,2020-05-12,40.3,36.6,44,36.6 - 44.0,2020,May
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-05-07,2020-05-12,32,31.1,32.9,31.1 - 32.9,2020,May
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-05-07,2020-05-12,38.8,34.2,43.5,34.2 - 43.5,2020,May
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-05-07,2020-05-12,29.9,25.7,34.4,25.7 - 34.4,2020,May
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-05-07,2020-05-12,45.9,41.1,50.7,41.1 - 50.7,2020,May
By Education,Less than a high school diploma,2020-05-07,2020-05-12,42.5,36.2,48.9,36.2 - 48.9,2020,May
By Education,High school diploma or GED,2020-05-07,2020-05-12,37.8,35.3,40.4,35.3 - 40.4,2020,May
By Education,Some college/Associate's degree,2020-05-07,2020-05-12,36.2,34.6,37.9,34.6 - 37.9,2020,May
By Education,Bachelor's degree or higher,2020-05-07,2020-05-12,27.5,26.3,28.7,26.3 - 28.7,2020,May
National Estimate,United States,2020-05-14,2020-05-19,24.4,23.7,25.2,23.7 - 25.2,2020,May
By Age,18 - 29 years,2020-05-14,2020-05-19,36.7,34.2,39.1,34.2 - 39.1,2020,May
By Age,30 - 39 years,2020-05-14,2020-05-19,26.7,25,28.5,25.0 - 28.5,2020,May
By Age,40 - 49 years,2020-05-14,2020-05-19,25,23.3,26.7,23.3 - 26.7,2020,May
By Age,50 - 59 years,2020-05-14,2020-05-19,24.6,22.9,26.4,22.9 - 26.4,2020,May
By Age,60 - 69 years,2020-05-14,2020-05-19,18,16.3,19.6,16.3 - 19.6,2020,May
By Age,70 - 79 years,2020-05-14,2020-05-19,12.3,10.4,14.5,10.4 - 14.5,2020,May
By Age,80 years and above,2020-05-14,2020-05-19,14.4,10.9,18.6,10.9 - 18.6,2020,May
By Sex,Male,2020-05-14,2020-05-19,22.1,21,23.3,21.0 - 23.3,2020,May
By Sex,Female,2020-05-14,2020-05-19,26.7,25.8,27.6,25.8 - 27.6,2020,May
By Race/Hispanic ethnicity,Hispanic or Latino,2020-05-14,2020-05-19,28.9,26.5,31.4,26.5 - 31.4,2020,May
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-05-14,2020-05-19,22.7,22,23.5,22.0 - 23.5,2020,May
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-05-14,2020-05-19,28.5,26.5,30.6,26.5 - 30.6,2020,May
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-05-14,2020-05-19,20.9,17.8,24.2,17.8 - 24.2,2020,May
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-05-14,2020-05-19,27.1,23.9,30.6,23.9 - 30.6,2020,May
By Education,Less than a high school diploma,2020-05-14,2020-05-19,31.3,27.2,35.8,27.2 - 35.8,2020,May
By Education,High school diploma or GED,2020-05-14,2020-05-19,27.8,26.1,29.5,26.1 - 29.5,2020,May
By Education,Some college/Associate's degree,2020-05-14,2020-05-19,26.8,25.3,28.4,25.3 - 28.4,2020,May
By Education,Bachelor's degree or higher,2020-05-14,2020-05-19,17.3,16.3,18.3,16.3 - 18.3,2020,May
National Estimate,United States,2020-05-14,2020-05-19,28.2,27.6,28.9,27.6 - 28.9,2020,May
By Age,18 - 29 years,2020-05-14,2020-05-19,38.6,36.2,41.1,36.2 - 41.1,2020,May
By Age,30 - 39 years,2020-05-14,2020-05-19,32.2,30.3,34.1,30.3 - 34.1,2020,May
By Age,40 - 49 years,2020-05-14,2020-05-19,30.7,28.9,32.5,28.9 - 32.5,2020,May
By Age,50 - 59 years,2020-05-14,2020-05-19,28.4,26.6,30.3,26.6 - 30.3,2020,May
By Age,60 - 69 years,2020-05-14,2020-05-19,22.3,20.7,24,20.7 - 24.0,2020,May
By Age,70 - 79 years,2020-05-14,2020-05-19,13.4,12,15,12.0 - 15.0,2020,May
By Age,80 years and above,2020-05-14,2020-05-19,11.8,8.8,15.3,8.8 - 15.3,2020,May
By Sex,Male,2020-05-14,2020-05-19,24.2,23.2,25.2,23.2 - 25.2,2020,May
By Sex,Female,2020-05-14,2020-05-19,32.1,31,33.1,31.0 - 33.1,2020,May
By Race/Hispanic ethnicity,Hispanic or Latino,2020-05-14,2020-05-19,33.6,31.1,36.2,31.1 - 36.2,2020,May
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-05-14,2020-05-19,26.3,25.4,27.2,25.4 - 27.2,2020,May
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-05-14,2020-05-19,32.7,30.7,34.7,30.7 - 34.7,2020,May
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-05-14,2020-05-19,23.4,20.9,26.2,20.9 - 26.2,2020,May
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-05-14,2020-05-19,31.3,27.6,35.2,27.6 - 35.2,2020,May
By Education,Less than a high school diploma,2020-05-14,2020-05-19,34.3,30.3,38.5,30.3 - 38.5,2020,May
By Education,High school diploma or GED,2020-05-14,2020-05-19,30.5,28.7,32.4,28.7 - 32.4,2020,May
By Education,Some college/Associate's degree,2020-05-14,2020-05-19,30.2,28.7,31.7,28.7 - 31.7,2020,May
By Education,Bachelor's degree or higher,2020-05-14,2020-05-19,22.7,21.7,23.6,21.7 - 23.6,2020,May
National Estimate,United States,2020-05-14,2020-05-19,33.9,33.1,34.7,33.1 - 34.7,2020,May
By Age,18 - 29 years,2020-05-14,2020-05-19,47.7,45.1,50.4,45.1 - 50.4,2020,May
By Age,30 - 39 years,2020-05-14,2020-05-19,37.8,35.7,39.9,35.7 - 39.9,2020,May
By Age,40 - 49 years,2020-05-14,2020-05-19,35.3,33.5,37.1,33.5 - 37.1,2020,May
By Age,50 - 59 years,2020-05-14,2020-05-19,33.7,31.8,35.7,31.8 - 35.7,2020,May
By Age,60 - 69 years,2020-05-14,2020-05-19,26.4,24.7,28.1,24.7 - 28.1,2020,May
By Age,70 - 79 years,2020-05-14,2020-05-19,18.3,16.3,20.4,16.3 - 20.4,2020,May
By Age,80 years and above,2020-05-14,2020-05-19,17.1,13.4,21.5,13.4 - 21.5,2020,May
By Sex,Male,2020-05-14,2020-05-19,29.9,28.7,31.1,28.7 - 31.1,2020,May
By Sex,Female,2020-05-14,2020-05-19,37.6,36.5,38.7,36.5 - 38.7,2020,May
By Race/Hispanic ethnicity,Hispanic or Latino,2020-05-14,2020-05-19,40.7,38,43.4,38.0 - 43.4,2020,May
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-05-14,2020-05-19,31.3,30.4,32.1,30.4 - 32.1,2020,May
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-05-14,2020-05-19,39.4,37.2,41.6,37.2 - 41.6,2020,May
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-05-14,2020-05-19,30.2,27.1,33.5,27.1 - 33.5,2020,May
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-05-14,2020-05-19,37.2,33.3,41.2,33.3 - 41.2,2020,May
By Education,Less than a high school diploma,2020-05-14,2020-05-19,40.9,36.2,45.8,36.2 - 45.8,2020,May
By Education,High school diploma or GED,2020-05-14,2020-05-19,37.6,36,39.3,36.0 - 39.3,2020,May
By Education,Some college/Associate's degree,2020-05-14,2020-05-19,36.1,34.5,37.8,34.5 - 37.8,2020,May
By Education,Bachelor's degree or higher,2020-05-14,2020-05-19,26.4,25.3,27.5,25.3 - 27.5,2020,May
National Estimate,United States,2020-05-21,2020-05-26,24.9,24.1,25.7,24.1 - 25.7,2020,May
By Age,18 - 29 years,2020-05-21,2020-05-26,36.7,34,39.4,34.0 - 39.4,2020,May
By Age,30 - 39 years,2020-05-21,2020-05-26,27.4,25.9,28.9,25.9 - 28.9,2020,May
By Age,40 - 49 years,2020-05-21,2020-05-26,24.2,22.8,25.7,22.8 - 25.7,2020,May
By Age,50 - 59 years,2020-05-21,2020-05-26,24.6,23,26.2,23.0 - 26.2,2020,May
By Age,60 - 69 years,2020-05-21,2020-05-26,19.8,18.5,21.2,18.5 - 21.2,2020,May
By Age,70 - 79 years,2020-05-21,2020-05-26,13.3,11.2,15.6,11.2 - 15.6,2020,May
By Age,80 years and above,2020-05-21,2020-05-26,17.1,11.1,24.7,11.1 - 24.7,2020,May
By Sex,Male,2020-05-21,2020-05-26,22.7,21.5,24,21.5 - 24.0,2020,May
By Sex,Female,2020-05-21,2020-05-26,26.9,25.8,28,25.8 - 28.0,2020,May
By Race/Hispanic ethnicity,Hispanic or Latino,2020-05-21,2020-05-26,31.4,28.4,34.4,28.4 - 34.4,2020,May
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-05-21,2020-05-26,23.3,22.4,24.2,22.4 - 24.2,2020,May
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-05-21,2020-05-26,24.8,22.6,27,22.6 - 27.0,2020,May
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-05-21,2020-05-26,19.5,17,22.2,17.0 - 22.2,2020,May
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-05-21,2020-05-26,32.2,28.3,36.3,28.3 - 36.3,2020,May
By Education,Less than a high school diploma,2020-05-21,2020-05-26,38.7,34,43.5,34.0 - 43.5,2020,May
By Education,High school diploma or GED,2020-05-21,2020-05-26,26.6,25.1,28.1,25.1 - 28.1,2020,May
By Education,Some college/Associate's degree,2020-05-21,2020-05-26,27.6,26.4,28.8,26.4 - 28.8,2020,May
By Education,Bachelor's degree or higher,2020-05-21,2020-05-26,17.3,16.5,18.2,16.5 - 18.2,2020,May
National Estimate,United States,2020-05-21,2020-05-26,29.4,28.8,30.1,28.8 - 30.1,2020,May
By Age,18 - 29 years,2020-05-21,2020-05-26,39.1,36.8,41.3,36.8 - 41.3,2020,May
By Age,30 - 39 years,2020-05-21,2020-05-26,35.2,33.7,36.8,33.7 - 36.8,2020,May
By Age,40 - 49 years,2020-05-21,2020-05-26,31.4,29.8,33.1,29.8 - 33.1,2020,May
By Age,50 - 59 years,2020-05-21,2020-05-26,29.3,27.8,31,27.8 - 31.0,2020,May
By Age,60 - 69 years,2020-05-21,2020-05-26,22.2,20.7,23.8,20.7 - 23.8,2020,May
By Age,70 - 79 years,2020-05-21,2020-05-26,15,13.1,17,13.1 - 17.0,2020,May
By Age,80 years and above,2020-05-21,2020-05-26,17.1,10.9,25.1,10.9 - 25.1,2020,May
By Sex,Male,2020-05-21,2020-05-26,25.4,24.4,26.3,24.4 - 26.3,2020,May
By Sex,Female,2020-05-21,2020-05-26,33.2,32.3,34.2,32.3 - 34.2,2020,May
By Race/Hispanic ethnicity,Hispanic or Latino,2020-05-21,2020-05-26,36.3,33.5,39.2,33.5 - 39.2,2020,May
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-05-21,2020-05-26,27.6,26.7,28.5,26.7 - 28.5,2020,May
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-05-21,2020-05-26,30.2,27.8,32.7,27.8 - 32.7,2020,May
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-05-21,2020-05-26,22.2,19.6,25,19.6 - 25.0,2020,May
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-05-21,2020-05-26,38.6,34.5,42.9,34.5 - 42.9,2020,May
By Education,Less than a high school diploma,2020-05-21,2020-05-26,40.6,36.8,44.5,36.8 - 44.5,2020,May
By Education,High school diploma or GED,2020-05-21,2020-05-26,29.5,27.9,31.1,27.9 - 31.1,2020,May
By Education,Some college/Associate's degree,2020-05-21,2020-05-26,32.4,31.3,33.6,31.3 - 33.6,2020,May
By Education,Bachelor's degree or higher,2020-05-21,2020-05-26,23.7,22.9,24.6,22.9 - 24.6,2020,May
National Estimate,United States,2020-05-21,2020-05-26,34.3,33.6,35.1,33.6 - 35.1,2020,May
By Age,18 - 29 years,2020-05-21,2020-05-26,46.6,44,49.2,44.0 - 49.2,2020,May
By Age,30 - 39 years,2020-05-21,2020-05-26,39.5,37.9,41.1,37.9 - 41.1,2020,May
By Age,40 - 49 years,2020-05-21,2020-05-26,35.7,34.2,37.4,34.2 - 37.4,2020,May
By Age,50 - 59 years,2020-05-21,2020-05-26,33.7,32,35.4,32.0 - 35.4,2020,May
By Age,60 - 69 years,2020-05-21,2020-05-26,27.4,25.7,29.1,25.7 - 29.1,2020,May
By Age,70 - 79 years,2020-05-21,2020-05-26,18.8,16.5,21.2,16.5 - 21.2,2020,May
By Age,80 years and above,2020-05-21,2020-05-26,20.1,14,27.5,14.0 - 27.5,2020,May
By Sex,Male,2020-05-21,2020-05-26,30.3,29.1,31.5,29.1 - 31.5,2020,May
By Sex,Female,2020-05-21,2020-05-26,38.1,37,39.2,37.0 - 39.2,2020,May
By Race/Hispanic ethnicity,Hispanic or Latino,2020-05-21,2020-05-26,41.5,38.6,44.5,38.6 - 44.5,2020,May
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-05-21,2020-05-26,32.3,31.4,33.3,31.4 - 33.3,2020,May
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-05-21,2020-05-26,35.6,32.9,38.3,32.9 - 38.3,2020,May
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-05-21,2020-05-26,27.6,24.5,30.8,24.5 - 30.8,2020,May
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-05-21,2020-05-26,43.4,39.5,47.4,39.5 - 47.4,2020,May
By Education,Less than a high school diploma,2020-05-21,2020-05-26,47.7,43.4,52.1,43.4 - 52.1,2020,May
By Education,High school diploma or GED,2020-05-21,2020-05-26,35.3,33.6,37.1,33.6 - 37.1,2020,May
By Education,Some college/Associate's degree,2020-05-21,2020-05-26,37.6,36.4,38.8,36.4 - 38.8,2020,May
By Education,Bachelor's degree or higher,2020-05-21,2020-05-26,27,26.1,27.9,26.1 - 27.9,2020,May
National Estimate,United States,2020-05-28,2020-06-02,25.3,24.7,25.8,24.7 - 25.8,2020,May
By Age,18 - 29 years,2020-05-28,2020-06-02,36.8,34.8,38.8,34.8 - 38.8,2020,May
By Age,30 - 39 years,2020-05-28,2020-06-02,27.9,26.6,29.2,26.6 - 29.2,2020,May
By Age,40 - 49 years,2020-05-28,2020-06-02,25.7,24.2,27.3,24.2 - 27.3,2020,May
By Age,50 - 59 years,2020-05-28,2020-06-02,25.1,23.4,26.8,23.4 - 26.8,2020,May
By Age,60 - 69 years,2020-05-28,2020-06-02,18,16.7,19.3,16.7 - 19.3,2020,May
By Age,70 - 79 years,2020-05-28,2020-06-02,15.5,13.5,17.6,13.5 - 17.6,2020,May
By Age,80 years and above,2020-05-28,2020-06-02,14.9,10.7,20,10.7 - 20.0,2020,May
By Sex,Male,2020-05-28,2020-06-02,23,22,23.9,22.0 - 23.9,2020,May
By Sex,Female,2020-05-28,2020-06-02,27.4,26.6,28.2,26.6 - 28.2,2020,May
By Race/Hispanic ethnicity,Hispanic or Latino,2020-05-28,2020-06-02,26.3,24.6,28.1,24.6 - 28.1,2020,May
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-05-28,2020-06-02,23.7,22.9,24.4,22.9 - 24.4,2020,May
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-05-28,2020-06-02,29.9,27.7,32.2,27.7 - 32.2,2020,May
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-05-28,2020-06-02,22,19.5,24.7,19.5 - 24.7,2020,May
